ID,Day,Date,Time,Latitude,Longitude,DepthInKilo,Magnitude,Quality,DistanceInKilo,Direction,Volcano
48,Friday,7/10/2016,11:49:13,64.649,-17.472,4.4,1.2,99,2.8,ENE,Bárðarbunga
49,Friday,7/10/2016,11:48:51,64.631,-17.519,3.1,1.7,99,1.1,SSE,Bárðarbunga
50,Friday,7/10/2016,11:25:41,63.621,-19.112,1,1,99,4.5,N,Eyjafjallajökull
51,Friday,7/10/2016,9:41:02,66.288,-17.556,13.3,0.6,99,18.6,NE,Flatey
52,Friday,7/10/2016,9:32:39,65.723,-16.811,5.8,0.6,99,2.8,WNW,Krafluvirkjun
53,Friday,7/10/2016,7:36:28,63.62,-19.108,0.1,1,99,4.4,N,Eyjafjallajökull
54,Friday,7/10/2016,6:48:05,63.89,-22.208,7.4,1,99,3.5,ESE,Fagradalsfjall
55,Friday,7/10/2016,5:21:20,66.279,-17.524,13.2,0.5,99,18.9,NE,Flatey
56,Friday,7/10/2016,4:52:43,63.621,-19.104,0.1,1,99,4.5,N,Hábunga
57,Friday,7/10/2016,4:40:49,66.243,-18.382,7,1,99,9.3,NW,Gjögurtá
58,Friday,7/10/2016,4:30:20,63.623,-19.093,0.1,2,99,4.8,N,Hábunga
59,Friday,7/10/2016,4:28:42,64.608,-17.519,2.6,0.9,99,3.6,S,Bárðarbunga
60,Friday,7/10/2016,4:22:24,64.624,-17.509,2.9,1.6,99,2,SSE,Bárðarbunga
61,Friday,7/10/2016,3:07:20,63.642,-19.105,0.1,0.9,99,6.9,N,Hábunga
62,Friday,7/10/2016,2:52:21,66.827,-18.375,10,1.5,99,35.5,NNW,Grímsey
63,Friday,7/10/2016,0:45:42,63.629,-19.111,0.1,0.7,99,5.5,N,Eyjafjallajökull
64,Friday,7/10/2016,0:11:37,63.618,-19.141,0.6,1.4,99,4.7,NNW,Eyjafjallajökull
65,Friday,7/10/2016,23:36:02,66.28,-16.993,7.3,1,99,24.3,W,Kópasker
66,Friday,7/10/2016,23:35:14,66.646,-17.93,11.9,1.4,99,12.1,NNE,Grímsey
67,Friday,7/10/2016,23:30:41,63.952,-20.967,5.1,0.4,99,2.4,NE,Selfoss
68,Friday,7/10/2016,23:15:38,66.336,-16.959,9.4,0.6,99,22.9,W,Kópasker
69,Friday,7/10/2016,22:58:28,66.638,-17.867,9.1,0.6,99,12.4,NNE,Grímsey
70,Friday,30/09/2016,20:54:38,63.642,-19.124,0.1,3,99,6.2,E,Goðabunga
71,Friday,30/09/2016,20:43:55,63.611,-19.103,1.1,0.5,90.02,3.4,N,Hábunga
72,Friday,30/09/2016,20:33:07,63.61,-19.148,1.1,1,90.05,4.1,NW,Hábunga
73,Friday,30/09/2016,19:47:18,63.608,-19.101,1.1,0.8,90.04,3.1,N,Eyjafjallajökull
74,Friday,30/09/2016,19:25:19,63.875,-22.298,3.6,0.6,90.01,3.3,SSW,Fagradalsfjall
75,Friday,30/09/2016,19:24:31,63.614,-19.113,1.1,0.1,90.01,3.8,N,Eyjafjallajökull
76,Friday,30/09/2016,19:22:11,63.614,-19.089,1.1,0.2,75.93,3.8,N,Eyjafjallajökull
77,Friday,30/09/2016,19:11:34,64.497,-17.673,4.9,1.6,90.04,6.6,E,Hamarinn
78,Friday,30/09/2016,19:01:30,63.621,-19.108,1.1,0.1,90.01,4.6,N,Hábunga
79,Friday,30/09/2016,18:55:54,64.682,-17.463,3.8,0.8,73.07,5.6,NNE,Bárðarbunga
80,Friday,30/09/2016,18:47:16,63.624,-19.08,1.1,0.1,88.38,5,NNE,Hábunga
81,Friday,30/09/2016,18:16:39,63.609,-19.108,1.1,0.8,90.03,3.2,N,Hábunga
82,Friday,30/09/2016,18:15:05,63.611,-19.136,1.1,0.8,90.04,3.9,NNW,Hábunga
83,Friday,30/09/2016,18:06:56,63.608,-19.121,1.1,1,90.06,3.3,NNW,Hábunga
84,Friday,30/09/2016,17:33:42,63.611,-19.115,1.1,0.6,90.03,3.5,NNW,Hábunga
85,Friday,30/09/2016,16:48:18,63.607,-19.139,1.1,1,90.07,3.6,NNW,Hábunga
86,Friday,30/09/2016,16:38:09,63.619,-19.103,1.1,0.4,90.01,4.3,N,Hábunga
87,Friday,30/09/2016,16:12:01,63.934,-20.769,3.6,0.4,83.87,5.7,W,Þjórsárbrú
88,Friday,30/09/2016,15:40:02,63.625,-19.121,1.1,0.1,90.01,5.1,NNW,Hábunga
89,Friday,30/09/2016,14:49:01,63.612,-19.116,1.1,1,90.05,3.6,NNW,Grenivík
90,Friday,30/09/2016,14:25:15,65.087,-16.809,3.8,0.2,50.11,6.6,SSE,Lokatindur
91,Friday,30/09/2016,14:23:26,63.633,-19.106,0.1,1.1,99,5.9,N,Hábunga
92,Friday,30/09/2016,13:59:25,63.622,-19.12,0.1,1,99,4.8,NNW,Hábunga
93,Friday,30/09/2016,13:39:19,66.563,-17.742,13.2,1.5,99,12,ENE,Grímsey
94,Friday,30/09/2016,12:55:52,63.62,-19.148,0.1,0.3,99,5,NNW,Hábunga
95,Friday,30/09/2016,12:45:51,63.617,-19.137,0.1,0.2,99,4.5,NNW,Hábunga
96,Friday,30/09/2016,12:38:21,63.626,-19.114,0.1,0.4,99,5.1,N,Hábunga
97,Friday,30/09/2016,12:26:35,63.624,-19.13,0.1,0.6,99,5.1,NNW,Hábunga
98,Friday,30/09/2016,12:19:51,63.619,-19.17,0.1,0.4,99,4.6,ESE,Goðabunga
99,Friday,30/09/2016,12:16:59,63.626,-19.137,0.1,0.6,99,5.4,NNW,Hábunga
100,Friday,30/09/2016,12:15:33,63.616,-19.144,0.1,1.4,99,4.6,NNW,Hábunga
101,Friday,30/09/2016,12:14:38,63.616,-19.145,0.3,1.5,99,4.6,NNW,Hábunga
102,Friday,30/09/2016,12:13:25,63.614,-19.151,0.2,3.2,99,4.6,NW,Eyjafjallajökull
103,Friday,30/09/2016,12:11:40,63.622,-19.121,1.1,0.6,90.01,4.8,NNW,Hábunga
104,Friday,30/09/2016,12:10:55,63.619,-19.129,0,3.2,99,4.5,NNW,Hábunga
105,Friday,30/09/2016,12:09:18,63.623,-19.105,0,3.6,99,4.8,N,Hábunga
106,Friday,30/09/2016,12:07:37,63.62,-19.111,0,3.6,99,4.4,N,Hábunga
107,Friday,30/09/2016,12:02:37,63.619,-19.176,1.1,2.2,90.07,4.3,ESE,Goðabunga
108,Friday,30/09/2016,12:02:36,63.625,-19.112,0.1,2.9,99,5.1,N,Hábunga
109,Friday,30/09/2016,11:59:45,64.796,-16.903,3.1,0.3,99,14.5,E,Kistufell
110,Friday,30/09/2016,11:37:37,64.396,-17.344,3.6,0.8,99,3.5,WSW,Grímsfjall
111,Friday,30/09/2016,11:27:04,65.193,-16.282,0.1,0.7,99,2.3,W,Herðubreiðarlindir
112,Friday,30/09/2016,11:07:16,63.609,-19.11,1.1,0.5,90.02,3.3,N,Eyjafjallajökull
113,Friday,30/09/2016,11:06:23,63.622,-19.101,0.1,1.4,99,4.7,N,Hábunga
114,Friday,30/09/2016,11:03:35,63.625,-19.128,1.1,0.1,71.16,5.2,NNW,Hábunga
115,Friday,30/09/2016,10:39:06,65.025,-16.674,3,0.2,99,3.5,WSW,Dreki
116,Friday,30/09/2016,10:22:23,64.681,-17.459,3.4,0.4,99,5.6,NE,Bárðarbunga
117,Friday,30/09/2016,9:57:38,63.621,-19.119,0.1,1.5,99,4.7,NNW,Hábunga
118,Friday,30/09/2016,9:55:40,63.625,-19.115,0.1,1.5,99,5.1,N,Hábunga
119,Friday,30/09/2016,9:53:17,63.621,-19.117,0.1,1,99,4.7,N,Hábunga
120,Friday,30/09/2016,9:48:09,63.99,-20.697,7,0.3,99,3.5,SSW,Hestfjall
121,Friday,30/09/2016,9:43:10,63.936,-21.702,10.1,0.4,99,5.9,SSW,Bláfjallaskáli
122,Friday,30/09/2016,9:40:01,63.947,-21.048,7.1,0.5,99,2.3,WNW,Selfoss
123,Friday,30/09/2016,9:37:27,63.614,-19.123,0.1,1.4,99,4,NNW,Hábunga
124,Friday,30/09/2016,9:18:46,63.636,-19.102,0.1,1.8,99,6.2,N,Hábunga
125,Friday,30/09/2016,9:12:14,63.641,-19.111,0.1,0.9,99,6.8,N,Hábunga
126,Friday,30/09/2016,9:11:16,63.638,-19.107,0.1,1.1,99,6.5,N,Hábunga
127,Friday,30/09/2016,8:59:04,63.621,-19.109,0.1,1.4,99,4.6,N,Hábunga
128,Friday,30/09/2016,8:45:21,63.623,-19.084,0.1,2,99,4.8,N,Hábunga
129,Friday,30/09/2016,8:40:49,63.619,-19.119,0.1,2,99,4.4,NNW,Hábunga
130,Friday,30/09/2016,7:36:46,63.621,-19.119,1.1,0.3,46.98,4.7,NNW,Hábunga
131,Friday,30/09/2016,7:27:33,63.617,-19.109,0.1,1.6,99,4.1,N,Hábunga
132,Friday,30/09/2016,7:08:28,63.623,-19.112,0.1,1.4,99,4.8,N,Hábunga
133,Friday,30/09/2016,7:04:21,63.624,-19.105,0.1,1.6,99,4.9,N,Hábunga
134,Friday,30/09/2016,6:59:51,63.838,-22.651,8,0.9,99,5,NNE,Reykjanestá
135,Friday,30/09/2016,6:40:55,63.623,-19.127,0,1.5,99,5,NNW,Hábunga
136,Friday,30/09/2016,6:39:26,63.621,-19.111,0,1.6,99,4.6,N,Hábunga
137,Friday,30/09/2016,6:32:35,63.624,-19.108,0,0.7,99,5,N,Hábunga
138,Friday,30/09/2016,6:31:55,63.623,-19.11,0,1.5,99,4.8,N,Hábunga
139,Friday,30/09/2016,6:30:53,63.623,-19.126,0.1,1.3,99,5,NNW,Hábunga
140,Friday,30/09/2016,6:30:14,63.622,-19.114,0,0.5,99,4.7,N,Hábunga
141,Friday,30/09/2016,6:28:30,63.615,-19.136,1,0.3,59.99,4.3,NNW,Hábunga
142,Friday,30/09/2016,6:08:46,63.626,-19.127,0.1,1.5,99,5.3,NNW,Hábunga
143,Friday,30/09/2016,5:57:48,63.624,-19.113,1.1,0.5,99,4.9,N,Hábunga
144,Friday,30/09/2016,5:56:37,63.623,-19.116,0.1,1.6,99,4.8,N,Hábunga
145,Friday,30/09/2016,5:51:46,63.62,-19.129,0.2,0.4,99,4.7,NNW,Hábunga
146,Friday,30/09/2016,5:43:35,63.613,-19.16,0,2.4,99,4.7,NW,Eyjafjallajökull
147,Friday,30/09/2016,5:32:10,65.028,-16.672,3.7,0.6,99,3.4,WSW,Dreki
148,Friday,30/09/2016,5:31:47,65.024,-16.673,3.2,0.7,99,3.6,WSW,Dreki
149,Friday,30/09/2016,5:23:35,63.617,-19.139,0.1,0.5,99,4.6,NNW,Hábunga
150,Friday,30/09/2016,5:17:02,63.621,-19.122,0.1,1.2,99,4.7,NNW,Hábunga
151,Friday,30/09/2016,5:09:56,63.885,-22.298,0.1,0.5,99,2.2,SSW,Fagradalsfjall
152,Friday,30/09/2016,4:46:50,63.625,-19.123,0.1,0.8,99,5.1,NNW,Hábunga
153,Friday,30/09/2016,4:45:44,63.624,-19.125,0.1,1.2,99,5,NNW,Hábunga
154,Friday,30/09/2016,4:44:38,63.619,-19.128,1.1,0.3,44.26,4.5,NNW,Hábunga
155,Friday,30/09/2016,4:41:55,63.617,-19.139,0.1,3.6,99,4.6,NNW,Hábunga
156,Friday,30/09/2016,4:40:57,63.619,-19.141,0.1,3.1,99,4.7,NNW,Hábunga
157,Friday,30/09/2016,4:39:09,63.615,-19.156,1.1,0.5,79.4,4.8,NW,Hábunga
158,Friday,30/09/2016,4:38:22,63.62,-19.149,0.1,1.9,99,5.1,NNW,Hábunga
159,Friday,30/09/2016,4:38:01,63.622,-19.14,0.1,1.2,99,5,NNW,Hábunga
160,Friday,30/09/2016,4:34:19,63.618,-19.152,0.1,0.7,99,5,NNW,Hábunga
161,Friday,30/09/2016,4:31:56,63.62,-19.135,0.1,1.3,99,4.8,NNW,Hábunga
162,Friday,30/09/2016,4:30:47,63.619,-19.137,0.1,2.6,99,4.7,NNW,Hábunga
163,Friday,30/09/2016,4:19:14,63.623,-19.109,0.1,1.7,99,4.8,N,Hábunga
164,Friday,30/09/2016,4:11:03,63.623,-19.112,0.1,1.9,99,4.8,N,Eyjafjallajökull
165,Friday,30/09/2016,3:48:23,63.867,-22.294,7.8,1,99,4,SSW,Fagradalsfjall
166,Friday,30/09/2016,3:34:04,63.621,-19.112,0.1,1.6,99,4.6,N,Hábunga
167,Friday,30/09/2016,3:32:55,63.621,-19.117,0.1,1.2,99,4.6,N,Hábunga
168,Friday,30/09/2016,3:26:27,63.618,-19.138,0.1,0.6,99,4.7,NNW,Hábunga
169,Friday,30/09/2016,3:25:55,63.616,-19.114,1.1,0.9,90.04,4.1,N,Hábunga
170,Friday,30/09/2016,3:20:22,63.628,-19.097,0.1,0.6,99,5.4,N,Hábunga
171,Friday,30/09/2016,3:19:05,63.624,-19.131,0.1,1,99,5.1,NNW,Hábunga
172,Friday,30/09/2016,3:15:37,63.625,-19.126,0.1,0.8,99,5.2,NNW,Hábunga
173,Friday,30/09/2016,3:08:21,63.624,-19.188,0.1,0.3,99,3.5,ESE,Goðabunga
174,Friday,30/09/2016,3:06:44,63.626,-19.13,0.1,1.2,99,5.4,NNW,Hábunga
175,Friday,30/09/2016,2:50:15,63.625,-19.12,0.1,1,99,5.1,N,Eyjafjallajökull
176,Friday,30/09/2016,2:45:00,63.628,-19.106,0.1,0.9,99,5.4,N,Hábunga
177,Friday,30/09/2016,2:43:55,63.628,-19.093,0.1,2.2,99,5.4,N,Hábunga
178,Friday,30/09/2016,2:43:07,63.627,-19.099,0.1,3.2,99,5.2,N,Hábunga
179,Friday,30/09/2016,2:29:35,63.623,-19.121,0.1,1.2,99,4.9,NNW,Eyjafjallajökull
180,Friday,30/09/2016,2:26:51,63.616,-19.113,0.1,0.5,99,4,N,Hábunga
181,Friday,30/09/2016,2:26:27,63.623,-19.118,0.1,0.8,99,4.8,N,Eyjafjallajökull
182,Friday,30/09/2016,2:26:05,63.626,-19.131,0.1,0.9,99,5.3,NNW,Eyjafjallajökull
183,Friday,30/09/2016,2:22:45,63.623,-19.129,0.1,1.6,99,5,NNW,Hábunga
184,Friday,30/09/2016,2:14:12,63.696,-19.459,1.1,0.8,90.01,2.4,NNE,Básar
185,Friday,30/09/2016,2:14:09,63.622,-19.125,0.1,2.3,99,4.8,NNW,Hábunga
186,Friday,30/09/2016,2:11:41,63.621,-19.121,0.1,0.5,99,4.7,NNW,Hábunga
187,Friday,30/09/2016,2:07:11,63.606,-19.084,1.1,1,90.03,3,NNE,Hábunga
188,Friday,30/09/2016,2:05:03,63.621,-19.094,0.1,2,99,4.5,N,Hábunga
189,Friday,30/09/2016,2:04:16,63.622,-19.131,0.1,1.4,99,4.9,NNW,Eyjafjallajökull
190,Friday,30/09/2016,2:02:48,64.653,-17.398,2.5,0.7,99,6.3,ENE,Bárðarbunga
191,Friday,30/09/2016,2:01:07,64.679,-17.389,0.5,1.7,99,7.9,ENE,Bárðarbunga
192,Friday,30/09/2016,1:53:21,66.636,-17.901,11.5,1.3,99,11.5,NNE,Grímsey
193,Friday,30/09/2016,1:48:22,63.912,-21.977,7.4,0.7,99,5.1,ENE,Krýsuvík
194,Friday,30/09/2016,1:46:32,63.912,-21.97,6.6,1.1,99,5.4,ENE,Krýsuvík
195,Friday,30/09/2016,1:33:13,63.628,-19.133,0.1,0.5,99,5.5,NNW,Eyjafjallajökull
196,Friday,30/09/2016,1:31:03,63.622,-19.123,0.1,2.9,99,4.8,NNW,Hábunga
197,Friday,30/09/2016,1:23:30,64.824,-16.888,5.7,0.6,99,15.9,ENE,Kistufell
198,Friday,30/09/2016,1:18:40,63.618,-19.112,1.1,1.2,90.03,4.3,N,Hábunga
199,Friday,30/09/2016,1:18:40,63.639,-19.098,0.1,2.4,99,6.5,N,Eyjafjallajökull
200,Friday,30/09/2016,1:17:26,63.891,-22.076,4.1,0.7,99,0.7,NW,Krýsuvík
201,Friday,30/09/2016,1:16:57,63.631,-19.109,7.1,0.5,35.85,5.7,N,Eyjafjallajökull
202,Friday,30/09/2016,1:15:40,63.64,-19.122,0,0.2,99,6.3,E,Goðabunga
203,Friday,30/09/2016,1:15:21,63.634,-19.112,0,0.4,99,6,N,Hábunga
204,Friday,30/09/2016,1:14:34,63.639,-19.099,0.1,0.5,99,6.5,N,Eyjafjallajökull
205,Friday,30/09/2016,1:14:28,63.624,-19.088,0.1,0.3,99,4.9,N,Hábunga
206,Friday,30/09/2016,1:13:24,63.637,-19.114,0.1,0.3,99,6.3,N,Hábunga
207,Friday,30/09/2016,1:13:02,64.509,-17.712,12.3,1.4,99,5.3,ENE,Hamarinn
208,Friday,30/09/2016,1:12:08,64.816,-16.893,6.7,0.3,99,15.4,ENE,Kistufell
209,Friday,30/09/2016,1:10:20,63.635,-19.117,0.1,0.5,99,6.2,N,Hábunga
210,Friday,30/09/2016,1:09:59,63.631,-19.133,0.3,0.4,99,5.9,NNW,Hábunga
211,Friday,30/09/2016,1:09:49,63.626,-19.104,0.1,0.6,99,5.1,N,Hábunga
212,Friday,30/09/2016,1:07:12,63.625,-19.138,0.1,1,99,5.3,NNW,Hábunga
213,Friday,30/09/2016,1:02:40,63.62,-19.111,0.1,2.5,99,4.5,N,Hábunga
214,Friday,30/09/2016,0:58:19,63.625,-19.124,0.1,1.2,99,5.1,NNW,Hábunga
215,Friday,30/09/2016,0:55:06,63.625,-19.122,0.1,1.5,99,5.1,NNW,Hábunga
216,Friday,30/09/2016,0:50:01,63.62,-19.082,1.8,0.6,99,4.6,NNE,Hábunga
217,Friday,30/09/2016,0:47:21,63.64,-19.162,0.1,1.4,99,4.3,E,Goðabunga
218,Friday,30/09/2016,0:44:01,63.619,-19.103,0.1,0.7,99,4.4,N,Hábunga
219,Friday,30/09/2016,0:39:23,63.621,-19.109,0,1.7,99,4.6,N,Hábunga
220,Friday,30/09/2016,0:37:09,63.622,-19.12,0.1,1.9,99,4.8,NNW,Hábunga
221,Friday,30/09/2016,0:33:04,63.623,-19.117,0.1,0.7,99,4.9,N,Grenivík
222,Friday,30/09/2016,0:15:19,64.628,-17.467,0.1,0.8,99,3.2,ESE,Bárðarbunga
223,Friday,30/09/2016,0:05:20,63.627,-19.124,0.1,0.9,99,5.4,NNW,Hábunga
224,Friday,30/09/2016,0:01:52,63.621,-19.128,0.1,2.7,99,4.8,NNW,Hábunga
225,Friday,30/09/2016,23:02:16,63.624,-19.106,0.1,0.9,99,4.9,N,Hábunga
226,Friday,30/09/2016,22:52:10,64.028,-21.215,3.9,0.8,99,3.3,NNW,Hveragerði
227,Friday,30/09/2016,22:43:58,63.619,-19.12,0.1,1.2,99,4.4,NNW,Hábunga
228,Friday,30/09/2016,21:51:26,63.625,-19.128,0.1,0.4,99,5.2,NNW,Hábunga
229,Friday,30/09/2016,21:50:51,63.929,-21.365,8.5,0.6,99,2,SE,Raufarhólshellir
230,Friday,30/09/2016,21:46:09,63.626,-19.131,0.1,1,99,5.4,NNW,Hábunga
231,Friday,30/09/2016,21:21:29,63.628,-19.072,0.1,0.7,99,5.5,NNE,Hábunga
232,Friday,30/09/2016,21:18:19,63.622,-19.087,0.1,0.8,99,4.7,N,Hábunga
233,Friday,30/09/2016,20:54:38,63.642,-19.124,0.1,3,99,6.2,E,Goðabunga
234,Friday,30/09/2016,20:43:55,63.611,-19.103,1.1,0.5,90.02,3.4,N,Hábunga
235,Friday,30/09/2016,20:33:07,63.61,-19.148,1.1,1,90.05,4.1,NW,Hábunga
236,Friday,30/09/2016,19:47:18,63.608,-19.101,1.1,0.8,90.04,3.1,N,Hábunga
237,Friday,30/09/2016,19:25:19,63.869,-22.308,7.1,1.8,99,4,SSW,Fagradalsfjall
238,Friday,30/09/2016,19:24:31,63.614,-19.113,1.1,0.1,90.01,3.8,N,Eyjafjallajökull
239,Friday,30/09/2016,19:22:11,63.614,-19.089,1.1,0.2,75.93,3.8,N,Hábunga
240,Friday,30/09/2016,19:11:34,64.502,-17.674,9.1,1.6,99,6.7,ENE,Hamarinn
241,Friday,30/09/2016,19:01:47,64.662,-17.385,0.1,0.5,99,7.2,ENE,Bárðarbunga
242,Friday,30/09/2016,19:01:30,63.621,-19.108,1.1,0.1,90.01,4.6,N,Hábunga
243,Friday,30/09/2016,18:55:53,64.679,-17.449,2.8,1.1,99,5.7,NE,Bárðarbunga
244,Friday,30/09/2016,18:47:16,63.624,-19.08,1.1,0.1,88.38,5,NNE,Hábunga
245,Friday,30/09/2016,18:16:39,63.619,-19.098,0.1,1.5,99,4.3,N,Hábunga
246,Friday,30/09/2016,18:15:05,63.615,-19.126,0.1,1.7,99,4.1,NNW,Hábunga
247,Friday,30/09/2016,18:06:56,63.616,-19.126,0.1,1.7,99,4.2,NNW,Hábunga
248,Friday,30/09/2016,17:33:42,63.622,-19.106,0.1,1.5,99,4.7,N,Hábunga
249,Friday,30/09/2016,16:48:18,63.62,-19.123,0.1,1.7,99,4.6,NNW,Hábunga
250,Friday,30/09/2016,16:38:09,63.621,-19.107,0.1,1.2,99,4.5,N,Eyjafjallajökull
251,Friday,30/09/2016,16:12:01,63.934,-20.765,3.6,0.7,99,5.5,W,Þjórsárbrú
252,Friday,30/09/2016,15:48:52,63.627,-19.123,0.1,0.8,99,5.3,NNW,Grenivík
253,Friday,30/09/2016,15:40:02,63.623,-19.118,0.1,1.2,99,4.8,N,Hábunga
254,Friday,30/09/2016,14:49:01,63.622,-19.116,0.1,1.7,99,4.7,N,Hábunga
255,Friday,30/09/2016,14:25:15,65.091,-16.788,4.5,0.8,99,6.6,SSE,Lokatindur
256,Friday,30/09/2016,14:23:26,63.633,-19.106,0.1,1.1,99,5.9,N,Hábunga
257,Friday,30/09/2016,13:59:25,63.622,-19.12,0.1,1,99,4.8,NNW,Hábunga
258,Friday,30/09/2016,13:39:19,66.563,-17.742,13.2,1.4,99,12,ENE,Grímsey
259,Friday,30/09/2016,12:55:52,63.62,-19.148,0.1,0.3,99,5,NNW,Hábunga
260,Friday,30/09/2016,12:45:51,63.617,-19.137,0.1,0.2,99,4.5,NNW,Hábunga
261,Friday,30/09/2016,12:38:21,63.626,-19.114,0.1,0.4,99,5.1,N,Hábunga
262,Friday,30/09/2016,12:26:35,63.624,-19.13,0.1,0.6,99,5.1,NNW,Hábunga
263,Friday,30/09/2016,12:19:51,63.619,-19.17,0.1,0.4,99,4.6,ESE,Goðabunga
264,Friday,30/09/2016,12:16:59,63.626,-19.137,0.1,0.6,99,5.4,NNW,Hábunga
265,Friday,30/09/2016,12:15:33,63.616,-19.144,0.1,1.4,99,4.6,NNW,Hábunga
266,Friday,30/09/2016,12:14:38,63.616,-19.145,0.3,1.5,99,4.6,NNW,Hábunga
267,Friday,30/09/2016,12:13:25,63.614,-19.151,0.2,3.2,99,4.6,NW,Hábunga
268,Friday,30/09/2016,12:11:40,63.626,-19.123,0.1,2.1,99,5.2,NNW,Hábunga
269,Friday,30/09/2016,12:10:55,63.619,-19.129,0,3.2,99,4.5,NNW,Hábunga
